Site	truth	ReDD
chr10-73250158	0.01	0.0
chr10-73250163	0.05	0.06666666666666667
chr10-73250260	0.02	0.0
chr10-73250262	0.01	0.0
chr10-73250304	0.01	0.0
chr10-73250317	0.01	0.0
chr10-73250334	0.04	0.8
chr10-73250339	0.02	0.0
chr10-73250353	0.01	0.0
chr10-75180307	0.02	0.8
chr10-75180310	0.02	0.8
chr10-75180448	0.02	1.0
chr10-75180510	0.02	0.0
chr10-80432385	0.01	0.5925925925925926
chr10-80432485	0.02	0.0
chr10-80432520	0.05	0.8275862068965517
chr10-80432530	0.04	0.13793103448275862
chr10-80432543	0.03	0.0
chr10-80432547	0.03	0.20689655172413793
chr10-80432556	0.02	0.06896551724137931
chr10-80432562	0.13	0.13793103448275862
chr10-80432596	0.07	0.0
chr10-87208221	0.2	0.16666666666666666
chr10-87208302	0.22	0.16666666666666666
chr10-87208315	0.31	0.3333333333333333
chr10-87208328	0.75	0.3333333333333333
chr10-87208329	0.35	0.3333333333333333
chr10-87208347	0.09	0.0
chr10-87208351	0.13	0.0
chr10-87208355	0.23	0.8333333333333334
chr10-87208359	0.04	0.0
chr10-87208394	0.06	0.16666666666666666
chr10-87208403	0.07	0.16666666666666666
chr10-87208414	0.14	0.3333333333333333
chr10-87208418	0.19	0.0
chr10-87208423	0.04	0.0
chr10-87208463	0.06	0.8333333333333334
chr10-87208464	0.15	0.8333333333333334
chr10-87208472	0.11	0.2
chr10-87241222	0.4	0.0
chr10-87241284	0.1	0.0
chr10-87246128	0.05	0.5384615384615384
chr10-87246156	0.12	0.07692307692307693
chr10-92654055	0.01	0.4444444444444444
chr10-94329539	0.23	0.0
chr10-94329540	0.19	0.0
chr10-94329541	0.08	0.0
chr10-94329612	0.25	1.0
chr10-94612662	0.05	0.0
chr10-94612670	0.12	0.5714285714285714
chr10-94612676	0.01	0.14285714285714285
chr10-94612686	0.02	0.0
chr10-94612687	0.35	0.2857142857142857
chr10-94612698	0.02	0.0
chr10-94612699	0.02	0.0
chr10-94612727	0.07	0.14285714285714285
chr10-94612761	0.01	0.0
chr10-94612764	0.03	0.0
chr10-94612773	0.01	0.0
chr10-94612799	0.02	0.2857142857142857
chr10-94612805	0.15	0.5714285714285714
chr10-94612806	0.17	0.7142857142857143
chr10-94612811	0.08	0.0
chr10-94612841	0.02	0.0
chr10-94612847	0.01	0.0
chr10-94612873	0.07	0.0
chr10-94612874	0.02	0.14285714285714285
chr10-99713748	0.03	0.6
chr10-99713749	0.03	0.6
chr10-99713753	0.01	0.0
chr10-99713804	0.02	0.2
chr10-100232502	0.09	0.1
chr10-100232510	0.06	0.17857142857142858
chr10-100232524	0.23	0.43333333333333335
chr10-100232541	0.05	0.20689655172413793
chr10-100232545	0.13	0.1
chr10-100232550	0.76	0.8928571428571429
chr10-100232551	0.97	0.8571428571428571
chr10-100232557	0.64	0.7857142857142857
chr10-100232668	0.15	0.14285714285714285
chr10-100232677	0.02	0.07142857142857142
chr10-100232885	0.02	0.045454545454545456
chr10-100233024	0.03	0.1111111111111111
chr10-100233026	0.21	0.3333333333333333
chr10-100233036	0.2	0.8888888888888888
chr10-100233048	0.06	0.1111111111111111
chr10-100233053	0.15	0.16666666666666666
chr10-100233065	0.03	0.0
chr10-100233079	0.02	0.0
chr10-100233141	0.22	0.0
chr10-100233142	0.1	0.1111111111111111
chr10-100233159	0.01	0.0
chr10-102455384	0.01	0.045454545454545456
chr10-102476248	0.03	0.3333333333333333
chr10-102476282	0.37	0.8333333333333334
chr10-102476288	0.03	0.8333333333333334
chr10-102476289	0.05	0.3333333333333333
chr10-102476290	0.03	0.5
chr10-102476328	0.04	0.0
chr10-102476439	0.02	0.16666666666666666
chr10-102476467	0.05	0.0
chr10-102476485	0.02	0.0
chr10-102863242	0.03	0.11538461538461539
chr10-102863348	0.03	0.0
chr10-102901263	0.04	0.0
chr10-102901274	0.35	0.16666666666666666
chr10-102901323	0.07	0.5714285714285714
chr10-102901369	0.11	0.0
chr10-102901375	0.71	0.8571428571428571
chr10-102901378	0.46	1.0
chr10-102901455	0.19	0.25
chr10-102901467	0.36	0.125
chr10-102901470	0.25	0.0
chr10-103088525	0.01	0.6666666666666666
chr10-103448544	0.13	0.2
chr10-103448558	0.2	0.0
chr10-103448600	0.3	0.4
chr10-103448601	0.43	0.6
chr10-103448646	0.5	0.6
chr10-103448665	1.0	0.4
chr10-103448666	1.0	0.6
chr10-103448671	0.59	1.0
chr10-103448733	0.08	0.0
chr10-103448951	0.14	0.14285714285714285
chr10-104125870	0.03	0.18181818181818182
chr10-104125949	0.02	0.8181818181818182
chr10-117281179	0.03	1.0
chr10-119572211	0.2	0.0
chr10-119572233	0.05	0.0
chr10-119572240	0.09	0.0
chr10-119572272	0.19	0.16666666666666666
chr10-119572273	0.08	0.16666666666666666
chr10-119572277	0.06	0.0
chr10-119572300	0.21	0.14285714285714285
chr10-119572304	0.22	0.0
chr10-119572336	0.17	0.3333333333333333
chr10-119572353	0.19	0.3333333333333333
chr10-119572354	0.55	0.5
chr10-119572357	0.07	0.16666666666666666
chr10-119572378	0.15	0.8333333333333334
chr10-119572433	0.12	0.0
chr10-119572450	0.57	0.8
chr10-119572451	0.14	0.8
chr10-124762422	0.03	0.0
chr10-124762463	0.06	0.0
chr10-124762529	0.09	0.0
chr10-125818248	0.18	0.6
chr10-130180221	0.02	0.9285714285714286
chr11-767855	0.02	0.0
chr11-767859	0.01	0.0
chr11-767863	0.01	0.041666666666666664
chr11-767865	0.02	0.0
chr11-767866	0.02	0.0
chr11-767867	0.01	0.041666666666666664
chr11-767880	0.37	0.0
chr11-767881	0.2	0.0
chr11-767884	0.05	0.043478260869565216
chr11-767886	0.23	0.0
chr11-767908	0.02	0.13043478260869565
chr11-767948	0.04	0.047619047619047616
chr11-767962	0.09	0.2727272727272727
chr11-767966	0.09	0.0
chr11-767989	0.19	0.9047619047619048
chr11-768015	0.44	0.8095238095238095
chr11-768024	0.19	0.0
chr11-768029	0.12	0.3157894736842105
chr11-768030	0.62	0.5
chr11-768124	0.23	0.75
chr11-768252	0.05	0.07692307692307693
chr11-768289	0.2	0.3
chr11-768303	0.29	0.7142857142857143
chr11-768306	0.18	0.23076923076923078
chr11-768321	0.37	0.5384615384615384
chr11-768325	0.2	0.42857142857142855
chr11-768347	0.28	0.5
chr11-768356	0.06	0.0
chr11-768357	0.06	0.09090909090909091
chr11-768383	0.35	0.16666666666666666
chr11-768386	0.31	0.16666666666666666
chr11-768387	0.15	0.25
chr11-768393	0.33	0.23076923076923078
chr11-768423	0.2	0.6923076923076923
chr11-768428	0.06	0.3076923076923077
chr11-768437	0.11	0.08333333333333333
chr11-768442	0.06	0.0
chr11-768531	0.15	0.3333333333333333
chr11-768541	0.15	0.625
chr11-768553	0.2	0.125
chr11-768566	0.07	0.0
chr11-768570	0.42	0.6666666666666666
chr11-768591	0.22	0.7777777777777778
chr11-768606	0.17	0.2222222222222222
chr11-768639	0.11	0.7777777777777778
chr11-768694	0.05	0.0
chr11-768710	0.07	0.5
chr11-768722	0.46	0.0
chr11-768724	0.12	0.0
chr11-768732	0.46	0.14285714285714285
chr11-768750	0.07	0.0
chr11-768804	0.11	0.6
chr11-768856	0.36	0.2
chr11-768857	0.22	0.0
chr11-768884	0.16	0.2
chr11-868401	0.52	0.14285714285714285
chr11-868404	0.13	0.0
chr11-868405	0.11	0.0
chr11-868412	0.04	0.0
chr11-868413	0.11	0.0
chr11-5664157	0.05	0.14285714285714285
chr11-8686275	0.07	0.16666666666666666
chr11-8686293	0.42	0.7142857142857143
chr11-8686296	0.09	0.14285714285714285
chr11-8686348	0.02	0.2857142857142857
chr11-8686361	0.13	0.0
chr11-8686370	0.08	0.625
chr11-8686397	0.03	0.0
chr11-8686414	0.04	0.625
chr11-8687204	0.01	0.3333333333333333
chr11-8687210	0.03	0.0
chr11-8687224	0.09	0.0
chr11-8687238	0.22	0.0
chr11-8687240	0.01	0.0
chr11-8687242	0.09	0.3333333333333333
chr11-8687248	0.04	0.0
chr11-8687249	0.08	0.0
chr11-8687252	0.23	0.6666666666666666
chr11-8687256	0.07	0.5
chr11-8687278	0.77	0.7142857142857143
chr11-8687288	0.1	0.14285714285714285
chr11-8687295	0.09	0.0
chr11-8687317	0.02	0.3333333333333333
chr11-8687337	0.03	0.0
chr11-8687342	0.25	0.2857142857142857
chr11-8687344	0.2	0.0
chr11-8919819	0.05	0.2
chr11-9282121	0.01	0.2727272727272727
chr11-9282215	0.02	0.36363636363636365
chr11-9282256	0.01	0.36363636363636365
chr11-9282266	0.01	1.0
chr11-9282822	0.01	1.0
chr11-9282871	0.02	0.0
chr11-9750152	0.03	0.2
chr11-9750162	0.02	0.0
chr11-9750194	0.02	0.1
chr11-9750220	0.05	0.8
chr11-9750221	0.05	0.8
chr11-14890652	0.11	0.0
chr11-14890685	0.58	1.0
chr11-14890711	0.05	0.6
chr11-14890716	0.07	0.0
chr11-14890718	0.11	0.0
chr11-14890721	0.07	0.0
chr11-14890753	0.05	0.0
chr11-14890780	0.07	0.3333333333333333
chr11-14890785	0.07	0.7
chr11-16756325	0.03	0.06060606060606061
chr11-16756334	0.09	0.06060606060606061
chr11-16756343	0.02	0.030303030303030304
chr11-16756344	0.16	0.030303030303030304
chr11-16756349	0.02	0.09090909090909091
chr11-16756363	0.45	0.7575757575757576
chr11-16756369	0.23	0.25806451612903225
chr11-16756370	0.33	0.625
chr11-16756374	0.03	0.0
chr11-16756399	0.09	0.14705882352941177
chr11-16756409	0.14	0.2647058823529412
chr11-16756411	0.05	0.14705882352941177
chr11-16756435	0.1	0.1875
chr11-16756436	0.32	0.07407407407407407
chr11-16756451	0.33	0.26666666666666666
chr11-16756454	0.04	0.6764705882352942
chr11-16756476	0.65	0.8529411764705882
chr11-16756530	0.17	0.08571428571428572
chr11-16756531	0.3	0.17142857142857143
chr11-16756647	0.17	0.46511627906976744
chr11-16756694	0.02	0.07317073170731707
chr11-16756695	0.14	0.2682926829268293
chr11-16756699	0.02	0.15217391304347827
chr11-16756725	0.02	0.06521739130434782
chr11-16756732	0.05	0.0
chr11-16756733	0.05	0.10869565217391304
chr11-16756761	0.14	0.3111111111111111
chr11-16756787	0.15	0.9130434782608695
chr11-16756788	0.57	0.9130434782608695
chr11-16756793	0.08	0.08695652173913043
chr11-16756797	0.66	0.4444444444444444
chr11-16756820	0.11	0.0
chr11-16756823	0.65	0.5957446808510638
chr11-16756828	0.03	0.06521739130434782
chr11-16756829	0.21	0.13333333333333333
chr11-16756833	0.24	0.5116279069767442
chr11-16756849	0.03	0.0625
chr11-16756853	0.17	0.08333333333333333
chr11-16756857	0.91	0.8125
chr11-16756860	0.11	0.0
chr11-16756918	0.01	0.0
chr11-16756920	0.01	0.0
chr11-17377201	0.01	0.16666666666666666
chr11-17377223	0.05	0.5
chr11-17377224	0.08	0.6666666666666666
chr11-17377254	0.02	0.16666666666666666
chr11-17377267	0.04	0.16666666666666666
chr11-17377275	0.01	0.0
chr11-17377367	0.05	1.0
chr11-17377417	0.06	0.0
chr11-17377420	0.06	0.0
chr11-17377423	0.05	0.0
chr11-17377432	0.02	0.0
chr11-17377438	0.02	0.16666666666666666
chr11-17377458	0.03	0.0
chr11-17380525	0.02	0.08695652173913043
chr11-17380572	0.01	0.0
chr11-17380586	0.03	0.125
chr11-17380598	0.03	0.08333333333333333
chr11-17380603	0.01	0.125
chr11-17380625	0.01	0.20833333333333334
chr11-17380770	0.02	0.15384615384615385
chr11-31431024	0.29	0.0
chr11-31431038	0.12	0.0
chr11-31431039	0.08	0.0
chr11-31431051	0.34	0.8
chr11-31431089	0.81	1.0
chr11-31431137	0.2	0.16666666666666666
chr11-31431147	0.08	0.0
chr11-31431149	0.07	0.0
chr11-31431181	0.06	0.42857142857142855
chr11-31431200	0.17	0.2857142857142857
chr11-31431203	0.48	0.7142857142857143
chr11-31431229	0.03	0.0
chr11-31431240	0.84	0.8571428571428571
chr11-31431241	0.73	0.7142857142857143
chr11-31431242	0.4	0.5714285714285714
chr11-31431263	0.1	0.75
chr11-31431281	0.03	0.125
chr11-31431294	0.06	0.625
chr11-31431332	0.03	0.0
chr11-31431334	0.04	0.0
chr11-31431387	0.03	0.0
chr11-31431398	0.05	0.5714285714285714
chr11-31431403	0.07	0.0
chr11-31431557	0.08	0.3333333333333333
chr11-31431578	0.06	0.0
chr11-31431579	0.05	0.0
chr11-31431583	0.14	0.0
chr11-31431602	0.03	0.1111111111111111
chr11-31431610	0.84	0.8888888888888888
chr11-31431611	0.31	0.7777777777777778
chr11-31431613	0.04	0.0
chr11-31431625	0.19	0.5555555555555556
chr11-31431626	0.75	0.7777777777777778
chr11-31431634	0.05	0.0
chr11-31431650	0.03	0.2222222222222222
chr11-31431672	0.5	1.0
chr11-31431676	0.05	0.1111111111111111
chr11-31431715	0.03	0.1111111111111111
chr11-31431721	0.34	0.0
chr11-31431727	0.06	0.0
chr11-31431762	0.1	0.0
chr11-31444675	0.11	0.0
chr11-31444682	0.06	0.6
chr11-31444686	0.07	0.0
chr11-31444701	0.08	0.2
chr11-31444705	0.12	0.0
chr11-31444718	0.04	0.2
chr11-31444727	0.08	0.8
chr11-31444754	0.04	0.8
chr11-31444758	0.1	0.0
chr11-31444763	0.07	0.0
chr11-31444765	0.04	0.0
chr11-31444766	0.13	0.0
chr11-31444767	0.27	0.0
chr11-31444768	0.09	0.2
chr11-31444769	0.17	0.2
chr11-33078112	0.16	0.4
chr11-61800225	0.03	0.0
chr11-61800228	0.05	0.0
chr11-61800254	0.05	0.043478260869565216
chr11-61800256	0.02	0.057971014492753624
chr11-61800266	0.02	0.014492753623188406
chr11-61800270	0.05	0.0
chr11-61800286	0.03	0.11940298507462686
chr11-61800296	0.01	0.1791044776119403
chr11-61800302	0.01	0.014925373134328358
chr11-61800305	0.03	0.3787878787878788
chr11-61800309	0.01	0.03125
chr11-61800326	0.01	0.06349206349206349
chr11-61800349	0.01	0.03125
chr11-61801943	0.02	0.0
chr11-61801948	0.02	0.0
chr11-61801957	0.01	0.03333333333333333
chr11-62739644	0.31	0.0
chr11-62739654	0.1	0.8
chr11-62739716	0.1	0.4
chr11-62739723	0.06	1.0
chr11-62739740	0.14	0.0
chr11-62739749	0.09	0.0
chr11-62739762	0.17	0.2
chr11-62739764	0.19	0.4
chr11-62739768	0.13	0.0
chr11-62739810	0.11	0.16666666666666666
chr11-62739813	0.12	1.0
chr11-62739839	0.24	0.0
chr11-62739890	0.04	0.0
chr11-62739891	0.18	0.0
chr11-62739903	0.03	0.16666666666666666
chr11-62871597	0.01	0.05263157894736842
chr11-62871627	0.01	0.0
chr11-63956711	0.03	0.0625
chr11-63956713	0.08	0.4117647058823529
chr11-63956720	0.02	0.5882352941176471
chr11-63956773	0.03	0.17647058823529413
chr11-63956774	0.01	0.0
chr11-63956796	0.01	0.07142857142857142
chr11-63956810	0.04	0.11764705882352941
chr11-63956813	0.02	0.35294117647058826
chr11-63956833	0.03	0.23529411764705882
chr11-63956894	0.03	0.15789473684210525
chr11-63956928	0.01	0.05263157894736842
chr11-63956948	0.05	0.10526315789473684
chr11-64923029	0.04	0.0
chr11-65413178	0.04	0.7777777777777778
chr11-65772882	0.3	0.16666666666666666
chr11-65772932	0.86	0.16666666666666666
chr11-65774488	0.02	0.07692307692307693
chr11-65774509	0.05	0.07692307692307693
chr11-65774544	0.38	0.0
chr11-65774549	0.21	0.6363636363636364
chr11-65774574	0.22	0.7
chr11-65774578	0.04	0.0
chr11-65774585	0.03	0.0
chr11-65774586	0.06	0.0
chr11-65774587	0.12	0.0
chr11-65774588	0.09	0.09090909090909091
chr11-65774589	0.09	0.09090909090909091
chr11-65774592	0.04	0.0
chr11-65774602	0.05	0.0
chr11-65776002	0.13	0.5
chr11-65776006	0.04	0.0
chr11-65776028	0.05	0.7142857142857143
chr11-65776158	0.07	0.0
chr11-65776164	0.07	0.42857142857142855
chr11-65776871	0.09	0.0
chr11-65776911	0.11	0.0
chr11-65776912	0.03	0.0
chr11-65776999	0.03	1.0
chr11-65777019	0.09	0.0
chr11-65777052	0.15	0.0
chr11-65777096	0.38	0.0
chr11-65996999	0.02	0.0
chr11-66475012	0.08	0.0
chr11-68755482	0.07	0.0
chr11-68755507	0.03	0.0
chr11-68755542	0.03	0.07692307692307693
chr11-68755579	0.05	0.0
chr11-68755587	0.03	0.0
chr11-68755606	0.06	0.0
chr11-68755614	0.03	0.0
chr11-68755643	0.07	0.15384615384615385
chr11-68755869	0.21	0.16666666666666666
chr11-68755870	0.05	0.08333333333333333
chr11-68755931	0.17	0.0
chr11-68755951	0.1	0.3333333333333333
chr11-68755965	0.16	0.25
chr11-68755966	0.21	0.2727272727272727
chr11-68756003	0.07	0.0
chr11-68756004	0.43	0.25
chr11-68756030	0.04	0.0
chr11-68756066	0.19	0.0
chr11-68756074	0.05	0.0
chr11-69666043	0.04	0.8666666666666667
chr11-69666073	0.01	0.0
chr11-73870796	0.38	0.0
chr11-76441475	0.05	0.3333333333333333
chr11-76441484	0.05	1.0
chr11-76441485	0.07	0.9375
chr11-76441522	0.02	0.1875
chr11-76441528	0.02	0.1875
chr11-76441539	0.05	0.25
chr11-76441540	0.02	0.125
chr11-76441592	0.03	0.11764705882352941
chr11-76441610	0.02	0.11764705882352941
chr11-76441612	0.02	0.29411764705882354
chr11-76441618	0.01	0.5882352941176471
chr11-78068592	0.09	0.03333333333333333
chr11-78068619	0.06	0.8275862068965517
chr11-78068663	0.36	0.4
chr11-78068673	0.04	0.9
chr11-78068685	0.03	0.3103448275862069
chr11-78068699	0.03	0.16666666666666666
chr11-78069026	0.09	0.375
chr11-78069057	0.06	0.0
chr11-78069058	0.02	0.15384615384615385
chr11-78069059	0.07	0.07692307692307693
chr11-78069065	0.02	0.0
chr11-78069066	0.02	0.0
chr11-78069071	0.27	0.125
chr11-78069084	0.02	0.0
chr11-78069105	0.06	0.0
chr11-78069162	0.02	0.4666666666666667
chr11-78069163	0.02	0.6
chr11-78142576	0.47	0.8
chr11-78142780	0.1	0.3333333333333333
chr11-78142799	0.24	0.16666666666666666
chr11-78142825	0.11	0.0
chr11-78142832	0.11	0.0
chr11-78142834	0.14	0.16666666666666666
chr11-78142840	0.09	0.0
chr11-78142869	0.21	0.6666666666666666
chr11-78142915	0.12	0.4
chr11-93734995	0.01	0.0
chr11-93761812	0.18	0.7391304347826086
chr11-93761814	0.11	0.9565217391304348
chr11-93761815	0.1	0.875
chr11-94415939	0.03	0.2857142857142857
chr11-94415942	0.07	0.0
chr11-94415948	0.04	0.7142857142857143
chr11-94415949	0.03	0.7142857142857143
chr11-94415975	0.01	0.42857142857142855
chr11-94416014	0.07	0.8333333333333334
chr11-94416015	0.06	0.16666666666666666
chr11-94416062	0.02	0.0
chr11-94416589	0.07	0.2
chr11-94416601	0.28	0.2
chr11-94416602	0.12	0.0
chr11-94416611	0.84	1.0
chr11-94416656	1.0	0.8
chr11-94416678	0.14	0.8
chr11-94416749	0.39	0.0
chr11-94416750	0.77	0.4
chr11-94416807	0.87	0.2
chr11-94416812	0.32	0.0
chr11-107791676	0.03	0.0
chr11-107791677	0.04	0.0
chr11-107791941	0.01	0.0
chr11-108473119	0.01	0.037037037037037035
chr11-108473159	0.01	0.14814814814814814
chr11-117168920	0.01	1.0
chr11-117168996	0.01	0.1
chr11-117169053	0.01	0.1
chr11-117169065	0.01	0.6
chr11-118601201	0.01	0.2753623188405797
chr11-119304743	0.01	0.0
chr11-121312683	0.04	0.0
chr11-125656230	0.04	0.7741935483870968
chr11-125656244	0.31	0.6
chr11-125656271	0.03	0.13333333333333333
chr11-125656279	0.01	0.03333333333333333
chr11-125656300	0.02	0.0
chr11-125675961	0.18	0.2857142857142857
chr11-125676008	0.06	0.14285714285714285
chr11-125676025	0.01	0.09523809523809523
chr11-125676033	0.04	0.23809523809523808
chr11-125676034	0.08	0.0
chr12-2888627	0.01	0.03125
chr12-2888645	0.02	0.125
chr12-2888657	0.05	0.90625
chr12-2888667	0.03	0.5161290322580645
chr12-2888669	0.02	0.03125
chr12-2888710	0.01	0.28125
chr12-2888750	0.01	0.0
chr12-2888765	0.01	0.029411764705882353
chr12-6531658	0.01	0.5319148936170213
chr12-6531707	0.01	0.0
chr12-6976671	0.01	0.625
chr12-10374108	0.02	0.3
chr12-27423444	0.09	0.0
chr12-27423514	0.33	0.8
chr12-27423536	0.54	1.0
chr12-27423591	0.12	0.0
chr12-27423603	0.18	0.2
chr12-29335504	0.3	0.0
chr12-31282473	0.01	0.023255813953488372
chr12-31282514	0.01	0.2
chr12-31282540	0.02	0.0
chr12-31282600	0.01	0.10810810810810811
chr12-32744450	0.02	0.05555555555555555
chr12-32744494	0.03	0.23529411764705882
chr12-32744499	0.02	0.16666666666666666
chr12-32744524	0.01	0.0
chr12-32744552	0.03	0.10526315789473684
chr12-32744658	0.01	0.0
chr12-32744662	0.06	0.42105263157894735
chr12-32744663	0.05	0.15789473684210525
chr12-42312793	0.72	0.021052631578947368
chr12-45920990	0.05	0.0
chr12-45921121	0.01	0.7272727272727273
chr12-45921153	0.01	0.0
chr12-45921162	0.01	0.18181818181818182
chr12-50931497	0.19	0.0
chr12-50931504	0.21	0.0
chr12-50931505	0.05	0.0
chr12-50931521	0.04	1.0
chr12-50931523	0.07	0.0
chr12-50931590	0.1	1.0
chr12-50931591	0.1	1.0
chr12-50931596	0.09	0.5714285714285714
chr12-50931600	0.07	0.42857142857142855
chr12-50931607	0.1	0.14285714285714285
chr12-50931636	0.06	0.2857142857142857
chr12-50931657	0.12	0.14285714285714285
chr12-50931754	0.25	0.42857142857142855
chr12-50931812	0.05	0.125
chr12-53190182	0.31	0.0
chr12-54233696	0.01	0.1
chr12-54233757	0.01	0.0
chr12-54233816	0.01	0.27586206896551724
chr12-54233829	0.01	0.0
chr12-54233854	0.01	0.0
chr12-54233856	0.01	0.0
chr12-54234093	0.01	0.09090909090909091
chr12-54234096	0.01	0.36363636363636365
chr12-54235425	0.16	0.5833333333333334
chr12-54237935	0.01	0.0
chr12-56203300	0.04	0.0
chr12-56229533	0.01	0.08247422680412371
chr12-56229559	0.01	0.05154639175257732
chr12-56229587	0.01	0.20408163265306123
chr12-56229591	0.01	0.2268041237113402
chr12-56229613	0.02	0.5
chr12-56229614	0.02	0.5204081632653061
chr12-56229627	0.02	0.6288659793814433
chr12-56229685	0.02	0.010101010101010102
chr12-56730470	0.05	0.42857142857142855
chr12-56730506	0.05	0.7142857142857143
chr12-56730535	0.1	0.0
chr12-56730563	0.09	0.0
chr12-56730564	0.06	0.0
chr12-56730565	0.03	0.0
chr12-56730588	0.06	0.0
chr12-56730589	0.05	0.0
chr12-56730629	0.04	0.6666666666666666
chr12-56730704	0.04	0.16666666666666666
chr12-56730727	0.04	0.0
chr12-56730739	0.03	0.0
chr12-56730743	0.24	0.16666666666666666
chr12-56730763	0.04	0.0
chr12-56730777	0.44	0.0
chr12-56730787	0.04	0.0
chr12-56730800	0.07	0.0
chr12-56730849	0.02	0.0
chr12-56730865	0.05	0.2
chr12-57254244	0.01	0.375
chr12-57254338	0.01	0.2857142857142857
chr12-57254389	0.01	0.7142857142857143
chr12-57254419	0.01	0.14285714285714285
chr12-57322043	0.12	0.7142857142857143
chr12-57322061	0.16	0.14285714285714285
chr12-57747843	0.02	0.5714285714285714
chr12-57747869	0.02	0.14285714285714285
chr12-57747935	0.05	0.0
chr12-57747945	0.1	0.0
chr12-57747947	0.04	0.5
chr12-57747949	0.02	0.0
chr12-64448943	0.01	0.0
chr12-64448970	0.01	0.0
chr12-64448979	0.06	0.375
chr12-64448984	0.03	0.0
chr12-64448989	0.15	0.0625
chr12-64448998	0.03	0.0625
chr12-64449012	0.02	0.0625
chr12-64449013	0.09	0.875
chr12-64449015	0.01	0.0
chr12-64449022	0.03	0.0
chr12-64449028	0.01	0.0625
chr12-64449039	0.01	0.0
chr12-64449052	0.09	0.0625
chr12-64449074	0.63	1.0
chr12-64449075	0.72	1.0
chr12-64449084	0.19	0.3333333333333333
chr12-64449123	0.01	0.1111111111111111
chr12-64449127	0.01	0.47058823529411764
chr12-64449136	0.01	0.05555555555555555
chr12-64449140	0.16	0.16666666666666666
chr12-64449145	0.03	0.0
chr12-64449202	0.01	0.0
chr12-64449211	0.01	0.0
chr12-64450281	0.36	0.6363636363636364
chr12-64450288	0.01	0.0
chr12-64450293	0.06	0.3
chr12-64450332	0.01	0.7575757575757576
chr12-64450354	0.43	0.41935483870967744
chr12-64450369	0.44	0.6857142857142857
chr12-64450370	0.01	0.42857142857142855
chr12-64450371	0.01	0.5428571428571428
chr12-64450387	0.02	0.08571428571428572
chr12-64450419	0.02	0.37142857142857144
chr12-66123242	0.1	0.11538461538461539
chr12-66123269	0.04	0.7692307692307693
chr12-66123324	0.02	0.04
chr12-66123397	0.03	0.75
chr12-66123404	0.04	0.4583333333333333
chr12-68765135	0.03	0.2
chr12-68765136	0.07	0.2
chr12-68765141	0.1	0.2
chr12-68765145	0.09	0.0
chr12-68765171	0.13	0.0
chr12-68765176	0.05	0.0
chr12-68765536	0.03	0.0
chr12-68765544	0.06	0.2
chr12-68843730	0.1	0.045454545454545456
chr12-68843749	0.17	0.36363636363636365
chr12-68843754	0.31	0.5
chr12-71786019	0.02	0.10344827586206896
chr12-71786077	0.01	0.03571428571428571
chr12-75496034	0.11	0.0
chr12-75496039	0.04	0.0
chr12-75496064	0.04	0.0
chr12-75496066	0.05	0.0
chr12-75496100	0.44	0.5833333333333334
chr12-75496115	0.09	0.3076923076923077
chr12-75496132	0.16	0.3333333333333333
chr12-75496272	0.72	0.6
chr12-75496273	0.17	0.1
chr12-75496309	0.04	0.0
chr12-75496317	0.15	0.1
chr12-75496341	0.17	0.0
chr12-79590326	0.03	0.75
chr12-93400727	0.01	0.2
chr12-95021310	0.59	0.625
chr12-95021311	0.88	0.75
chr12-95021313	0.94	1.0
chr12-98548843	0.1	0.17857142857142858
chr12-98548857	0.01	0.01818181818181818
chr12-98548866	0.01	0.6428571428571429
chr12-98548904	0.01	0.14035087719298245
chr12-98548909	0.02	0.24561403508771928
chr12-98548912	0.09	0.19298245614035087
chr12-98548917	0.38	0.5357142857142857
chr12-98548920	0.31	0.017857142857142856
chr12-98549030	0.01	0.0
chr12-98549033	0.02	0.0
chr12-98549046	0.34	0.76
chr12-98549053	0.02	0.4025974025974026
chr12-98549069	0.01	0.02564102564102564
chr12-98549102	0.01	0.01282051282051282
chr12-98549108	0.24	0.01282051282051282
chr12-98549240	0.01	0.06796116504854369
chr12-98549255	0.95	0.9292929292929293
chr12-98549324	0.1	0.14814814814814814
chr12-98549325	0.15	0.12037037037037036
chr12-98549362	0.01	0.3853211009174312
chr12-98549371	0.01	0.08695652173913043
chr12-98549409	0.05	0.31896551724137934
chr12-98549423	0.04	0.05084745762711865
chr12-98549424	0.01	0.07627118644067797
chr12-98549436	0.02	0.44537815126050423
chr12-98605677	0.15	0.0
chr12-98605699	0.09	0.2
chr12-98605700	0.19	0.2
chr12-98605709	0.38	0.4
chr12-98605726	0.24	0.2
chr12-98605731	0.05	0.0
chr12-98605740	0.14	0.2
chr12-98605741	0.16	0.0
chr12-98605769	0.04	0.2
chr12-98605847	0.04	0.0
chr12-98605919	0.06	0.2
chr12-98605968	0.09	0.6
chr12-98605984	0.12	0.0
chr12-98606008	0.49	0.8
chr12-98606012	0.2	0.3333333333333333
chr12-98606017	0.18	0.0
chr12-98606037	0.08	0.16666666666666666
chr12-98606094	0.08	0.0
chr12-98734993	0.13	0.8
chr12-98735014	0.15	0.0
chr12-100627305	0.13	0.8
chr12-100627336	0.16	0.6
chr12-100627338	0.06	0.0
chr12-100627344	0.35	0.5
chr12-100627349	0.1	0.0
chr12-100627354	0.18	0.0
chr12-100627355	0.19	0.0
